,Annual Revenue,ADR,Occupancy %,Guests,Status,Status Detail,Price,Price Change,Date Changed,Street Address,City,State,Zipcode,Beds,Baths,Sqft,Home Type,Units,Building Name,Zestimate,Rent Zestimate,Tax Assessed Value,HDP Price,Lot Area,Lot Area Unit,Broker Name,Days on Zillow,URL,Latitude,Longitude
30,,,,,For Rent,For Rent,,,,152-09 88th Ave # 1168,Jamaica,NY,11432,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/152-09-88th-ave-jamaica-ny-BghTMR/,,
31,48729,339,0.39,8,For Rent,Apartment For Rent,4400,,,15209 88th Ave APT 503,Jamaica,NY,11432,3,3,,Apartment,,,,2100,,4400,,,EXR,0.79,https://www.zillow.com/homedetails/15209-88th-Ave-APT-503-Jamaica-NY-11432/2092325558_zpid/,40.706284,-73.80492
32,32260,153,0.58,4,For Rent,Apartment For Rent,2150,,,13735 Elder Ave,Flushing,NY,11355,1,1,500,Apartment,,,,1900,,2150,,,,0.83,https://www.zillow.com/homedetails/13735-Elder-Ave-Flushing-NY-11355/2072323519_zpid/,40.751286,-73.82549
33,39104,168,0.64,4,For Rent,Apartment For Rent,2000,,,6930 61st Rd #1,Middle Village,NY,11379,1,1,600,Apartment,,,,,,2000,,,,0.83,https://www.zillow.com/homedetails/6930-61st-Rd-1-Middle-Village-NY-11379/352270499_zpid/,40.719036,-73.89017
34,26407,191,0.38,4,For Rent,Apartment For Rent,1800,,,(undisclosed Address),Flushing,NY,11367,1,1,,Apartment,,,727900,2900,,1800,,,,0.83,https://www.zillow.com/homedetails/Flushing-NY-11367/32071429_zpid/,,
35,30868,149,0.57,6,For Rent,House For Rent,2950,,,7611 170th St,Flushing,NY,11366,2,1,,Single Family,,,1055100,2514,1078000,2950,,,Keller Williams Realty Greater,0.83,https://www.zillow.com/homedetails/7611-170th-St-Flushing-NY-11366/32076410_zpid/,40.726067,-73.79888
36,31416,149,0.58,6,For Rent,Apartment For Rent,1900,,,(undisclosed Address),Flushing,NY,11364,2,1,,Apartment,,,1276700,3421,,1900,,,,0.83,https://www.zillow.com/homedetails/Flushing-NY-11364/32084549_zpid/,,
37,26407,191,0.38,4,For Rent,Apartment For Rent,1800,,,(undisclosed Address),Flushing,NY,11367,1,1,,Apartment,,,1015200,1949,,1800,,,winzone reality,0.83,https://www.zillow.com/homedetails/Flushing-NY-11367/32071441_zpid/,,
38,31416,149,0.58,6,For Rent,House For Rent,1900,,,(undisclosed Address),Flushing,NY,11364,2,1,2000,Single Family,,,1340200,4984,,1900,,,winzone reality,0.88,https://www.zillow.com/homedetails/Flushing-NY-11364/32084571_zpid/,,
39,67005,402,0.46,10,For Rent,House For Rent,4500,,,2946 169th St,Flushing,NY,11358,4,4,1600,Single Family,,,1177100,4377,881000,4500,,,B Square Realty,0.88,https://www.zillow.com/homedetails/2946-169th-St-Flushing-NY-11358/32036314_zpid/,40.76937,-73.79644
40,36063,152,0.65,4,For Rent,House For Rent,1950,,,14116 84th Dr,Jamaica,NY,11435,1,1.5,,Single Family,,,,1999,,1950,,,,0.88,https://www.zillow.com/homedetails/14116-84th-Dr-Jamaica-NY-11435/2056695417_zpid/,40.710045,-73.815765
41,31283,184,0.47,6,For Rent,Apartment For Rent,2900,,,174-46 127th Ave #1,Jamaica,NY,11434,2,1,,Multi Family,,,,,,2900,,,EXP Realty,0.96,https://www.zillow.com/homedetails/174-46-127th-Ave-1-Jamaica-NY-11434/352265306_zpid/,40.680916,-73.76789
42,52308,321,0.45,8,For Rent,Apartment For Rent,2975,,,(undisclosed Address),Bayside,NY,11361,3,2,,Apartment,,,,,,2975,,,HomeSmart Premier Living Realty,1,https://www.zillow.com/homedetails/Bayside-NY-11361/352263474_zpid/,,
43,29228,138,0.58,4,For Rent,Apartment For Rent,1754,,,150-33 34th Ave,Flushing,NY,11354,1,1,10,Apartment,,,,2113,,1754,,,LDM Real Estate,1,https://www.zillow.com/homedetails/150-33-34th-Ave-Flushing-NY-11354/2068745692_zpid/,40.766697,-73.8309
44,22469,183,0.34,6,For Rent,Apartment For Rent,2900,,,215-37 43rd Ave #4B,Bayside,NY,11361,2,1,,Apartment,,,,,,2900,,,HomeSmart Premier Living Realty,1,https://www.zillow.com/homedetails/215-37-43rd-Ave-4B-Bayside-NY-11361/352263009_zpid/,40.762215,-73.766624
45,33111,176,0.52,4,For Rent,Townhouse For Rent,2100,,,67-03 Burns St FLOOR 2,Forest Hills,NY,11375,1,1,,Townhouse,,,,,,2100,,,Benjamin Realty Since 1980,1.04,https://www.zillow.com/homedetails/67-03-Burns-St-FLOOR-2-Forest-Hills-NY-11375/352261500_zpid/,40.72313,-73.85601
46,28733,136,0.58,4,For Rent,Apartment For Rent,1754,,,151-09 34th Ave APT 3G,Flushing,NY,11354,1,1,400,Apartment,,,,1900,,1754,,,John Tsavalos LREB,1.04,https://www.zillow.com/homedetails/151-09-34th-Ave-APT-3G-Flushing-NY-11354/2059118882_zpid/,40.767365,-73.81249
47,39222,158,0.68,4,For Rent,Apartment For Rent,1915,,,33-25 76th St #3D,Jackson Heights,NY,11372,1,1,815,Apartment,,,,,,1915,,,First State Realty LLC,1.04,https://www.zillow.com/homedetails/33-25-76th-St-3D-Jackson-Heights-NY-11372/352261485_zpid/,40.75413,-73.89064
48,38557,152,0.69,4,For Rent,Condo For Rent,2000,,,164-20 Highland Ave APT 2D,Jamaica,NY,11432,1,1,,Condo,,,183700,1999,,2000,,,Douglas Elliman,1.04,https://www.zillow.com/homedetails/164-20-Highland-Ave-APT-2D-Jamaica-NY-11432/79734018_zpid/,40.710403,-73.79886
49,,,,,For Rent,For Rent,,,,13905 85th Dr   Apt 3,Jamaica,NY,11435,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/13905-85th-dr-jamaica-ny-5YG3Lt/,,
50,34499,152,0.62,6,For Rent,Apartment For Rent,2700,,,83-20 141st St #3A,Jamaica,NY,11435,2,2,1300,Apartment,,,,3155,22281000,2700,,,Metro Garden Realty,1.04,https://www.zillow.com/homedetails/83-20-141st-St-3A-Jamaica-NY-11435/245388389_zpid/,40.71231,-73.818535
51,30907,172,0.49,6,For Rent,Apartment For Rent,2450,,,(undisclosed Address),Flushing,NY,11355,2,1,,Apartment,,,,,,2450,,,,1.04,https://www.zillow.com/homedetails/Flushing-NY-11355/352260733_zpid/,,
52,38901,167,0.64,6,For Rent,Apartment For Rent,2200,,,139-21 85th Dr #3B,Jamaica,NY,11435,2,1,,Apartment,,,,1599,,2200,,,Brown Harris Stevens,1.08,https://www.zillow.com/homedetails/139-21-85th-Dr-3B-Jamaica-NY-11435/2080697145_zpid/,40.70926,-73.81631
53,23069,124,0.51,6,For Rent,Apartment For Rent,2800,,,8309 Talbot St APT 1J,Jamaica,NY,11415,2,2,,Apartment,,,422600,3077,156369,2800,,,First State Realty LLC,1.12,https://www.zillow.com/homedetails/8309-Talbot-St-APT-1J-Jamaica-NY-11415/89070939_zpid/,40.70972,-73.82864
54,71598,279,0.7,8,For Rent,Apartment For Rent,2850,,,70-03 65th Pl #1C,Ridgewood,NY,11385,3,1,,Apartment,,,,,,2850,,,Nooklyn NYC LLC,1.12,https://www.zillow.com/homedetails/70-03-65th-Pl-1C-Ridgewood-NY-11385/352258237_zpid/,40.703823,-73.890205
55,35431,145,0.67,4,For Rent,Apartment For Rent,1767,,,8740 Elmhurst Ave APT 502,Elmhurst,NY,11373,1,1,,Apartment,,,468200,1927,,1767,,,E Hudson Properties,1.12,https://www.zillow.com/homedetails/8740-Elmhurst-Ave-APT-502-Elmhurst-NY-11373/2110590104_zpid/,40.74505,-73.87794
56,,,,,For Rent,For Rent,,,,59-05 99th St # 800,Corona,NY,11368,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/59-05-99th-st-corona-ny-CfLQZ7/,,
57,67470,253,0.73,10,For Rent,Apartment For Rent,4100,-395,6/4/2024,59-15 99th Streetstreet #715,Corona,NY,11368,4,2,1400,Apartment,,,,3900,,4100,,,EAG Realty,1.12,https://www.zillow.com/homedetails/59-15-99th-Streetstreet-715-Corona-NY-11368/351164668_zpid/,40.749577,-73.85319
58,33981,235,0.4,6,For Rent,Apartment For Rent,2200,,,8312 Homelawn St FLOOR 1,Jamaica,NY,11432,2,1,850,Apartment,,,,2999,,2200,,,,1.12,https://www.zillow.com/homedetails/8312-Homelawn-St-FLOOR-1-Jamaica-NY-11432/2070584093_zpid/,40.71754,-73.792534
59,69255,265,0.72,10,For Rent,Apartment For Rent,2800,,,102-20 Larue Ave FLOOR 1,Corona,NY,11368,4,2,850,Apartment,,,,,,2800,,,,1.17,https://www.zillow.com/homedetails/102-20-Larue-Ave-FLOOR-1-Corona-NY-11368/352246035_zpid/,40.74056,-73.8573
60,34771,156,0.61,4,For Rent,Apartment For Rent,1900,,,(undisclosed Address),Middle Village,NY,11379,1,1,,Apartment,,,,,,1900,,,IJG REALTY,1.17,https://www.zillow.com/homedetails/Middle-Village-NY-11379/352245790_zpid/,,
61,40901,168,0.67,2,For Rent,House For Rent,1600,,,(undisclosed Address),Jamaica,NY,11435,0,1,,Single Family,,,659400,2559,,1600,,,Real Broker LLC,1.17,https://www.zillow.com/homedetails/Jamaica-NY-11435/32137524_zpid/,,
62,35934,213,0.46,6,For Rent,Apartment For Rent,3400,,,177-30 Wexford Ter #607,Jamaica,NY,11432,2,1,,Apartment,,,,,,3400,,,A&R Properties Group LLC,1.17,https://www.zillow.com/homedetails/177-30-Wexford-Ter-607-Jamaica-NY-11432/352245467_zpid/,40.712994,-73.7859
63,,,,,For Rent,For Rent,,,,17730 Wexford Ter  # 210,Jamaica,NY,11432,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/17730-wexford-terrace-jamaica-ny-5vF6DR/,,
64,,,,,For Rent,For Rent,,,,177-16 87th Dr   # 603,Jamaica,NY,11432,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/new-luxury-apartment-building-jamaica-ny-BK6NxG/,,
65,33194,183,0.5,8,For Rent,Apartment For Rent,4300,,,3611 219th St #1,Bayside,NY,11361,3,2.5,1200,Apartment,,,,3043,,4300,,,Highline Residential,1.17,https://www.zillow.com/homedetails/3611-219th-St-1-Bayside-NY-11361/2079123658_zpid/,40.769054,-73.7646
66,31945,132,0.66,4,For Rent,Apartment For Rent,1895,,,3538 94th St APT 1C,Jackson Heights,NY,11372,1,1,,Apartment,,,,1963,,1895,,,E Hudson Properties,1.17,https://www.zillow.com/homedetails/3538-94th-St-APT-1C-Jackson-Heights-NY-11372/2110575889_zpid/,40.75179,-73.87344
67,62983,308,0.56,8,For Rent,Apartment For Rent,3200,,,4310 Parsons Blvd #2F,Flushing,NY,11355,3,2,1200,Apartment,,,,,,3200,,,Emily R.CHEN,1.17,https://www.zillow.com/homedetails/4310-Parsons-Blvd-2F-Flushing-NY-11355/352244117_zpid/,40.756718,-73.8178
68,26589,107,0.68,4,For Rent,Townhouse For Rent,2200,,,18804 64th Ave,Fresh Meadows,NY,11365,1,1,,Townhouse,,,,2214,,2200,,,,1.21,https://www.zillow.com/homedetails/18804-64th-Ave-Fresh-Meadows-NY-11365/2071063114_zpid/,40.741188,-73.778656
69,60737,216,0.77,4,For Rent,Apartment For Rent,2200,,,14430 Roosevelt Ave #2C,Flushing,NY,11354,1,1,700,Apartment,,,,,,2200,,,,1.21,https://www.zillow.com/homedetails/14430-Roosevelt-Ave-2C-Flushing-NY-11354/352242282_zpid/,40.76163,-73.82206
70,,,,,For Rent,For Rent,,,,6700 192nd St   ,Fresh Meadows,NY,11365,,,,Unknown,,,,,,,,,,0,"https://www.zillow.com/b/building/40.737427,-73.779915_ll/",,
71,45355,252,0.49,8,For Rent,Townhouse For Rent,2800,,,165-08 Linden Blvd #1,Jamaica,NY,11434,3,2,,Townhouse,,,,,,2800,,,Anthony T Crews Real Estate LLC,1.21,https://www.zillow.com/homedetails/165-08-Linden-Blvd-1-Jamaica-NY-11434/352241062_zpid/,40.689644,-73.78366
72,18387,99,0.51,4,For Rent,Apartment For Rent,2200,,,35 Nichols Ave FLOOR 2,Brooklyn,NY,11208,1,1,500,Apartment,,,,2070,,2200,,,EXP Realty NYC,1.21,https://www.zillow.com/homedetails/35-Nichols-Ave-FLOOR-2-Brooklyn-NY-11208/2056412797_zpid/,40.689865,-73.86957
73,48244,191,0.69,6,For Rent,Apartment For Rent,2850,,,42-42 Judge St APT 2F,Elmhurst,NY,11373,2,1,,Apartment,,,,2800,,2850,,,Oxford Property Group,1.21,https://www.zillow.com/homedetails/42-42-Judge-St-APT-2F-Elmhurst-NY-11373/2062447108_zpid/,40.7439,-73.879814
74,26618,114,0.64,4,For Rent,Townhouse For Rent,2497,,,67-15K 190th Ln,Fresh Meadows,NY,11365,1,1,,Townhouse,,,,,,2497,,,,1.25,https://www.zillow.com/homedetails/67-15K-190th-Ln-Fresh-Meadows-NY-11365/352240207_zpid/,40.736637,-73.78207
75,20742,110,0.52,4,For Rent,Apartment For Rent,1700,,,35-14 154th St,Flushing,NY,11354,1,1,,Apartment,,,,1900,,1700,,,LDM Real Estate,1.25,https://www.zillow.com/homedetails/35-14-154th-St-Flushing-NY-11354/2061013377_zpid/,40.76729,-73.810646
76,,,,,For Rent,For Rent,,,,19304 Horace Harding Expy Apt 3C,Fresh Meadows,NY,11365,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/19304-horace-harding-expy-fresh-meadows-ny-5YCYzF/,,
77,43050,244,0.48,8,For Rent,Apartment For Rent,2678,,,67-02 186th Ln,Fresh Meadows,NY,11365,3,1,1100,Apartment,,,,2500,,2678,,,,1.25,https://www.zillow.com/homedetails/67-02-186th-Ln-Fresh-Meadows-NY-11365/2066686618_zpid/,40.736664,-73.786835
78,64517,272,0.65,10,For Rent,House For Rent,4000,,,1 241st St,Cambria Heights,NY,11411,4,2,1112,Single Family,,,,3274,,4000,,,,1.25,https://www.zillow.com/homedetails/1-241st-St-Cambria-Heights-NY-11411/344970949_zpid/,40.69418,-73.73581
79,56309,275,0.56,8,For Rent,House For Rent,3200,,,233 Springfield Blvd,Springfield Gardens,NY,11413,3,2,1300,Single Family,,,,,,3200,,,,1.25,https://www.zillow.com/homedetails/233-Springfield-Blvd-Springfield-Gardens-NY-11413/352239508_zpid/,40.68672,-73.74983
80,66764,260,0.7,10,For Rent,Apartment For Rent,3800,,,95-33 113th St FLOOR 2,South Richmond Hill,NY,11419,4,1,,Apartment,,,,,,3800,,,Suarez Realty Inc,1.29,https://www.zillow.com/homedetails/95-33-113th-St-FLOOR-2-South-Richmond-Hill-NY-11419/352237823_zpid/,40.69024,-73.83163
81,89279,366,0.67,10,For Rent,Apartment For Rent,4300,,,(undisclosed Address),Flushing,NY,11361,4,2.5,2816,Apartment,,,1561400,4668,,4300,,,,1.29,https://www.zillow.com/homedetails/Flushing-NY-11361/32061365_zpid/,,
82,44869,180,0.68,6,For Rent,Apartment For Rent,2000,,,14909 Northern Blvd #4,Flushing,NY,11354,2,1,,Apartment,,,,,,2000,,,"Premium Properties, Inc.",1.29,https://www.zillow.com/homedetails/14909-Northern-Blvd-4-Flushing-NY-11354/352237267_zpid/,40.765614,-73.816826
